,station_id,station_lat,station_lon,station_region,early_late,early_days,late_days,both_days
342,USC00113290,41.8978,-90.1544,4.0,3.0,10958.0,10958.0,21916.0
343,USC00113312,42.3994,-90.3861,4.0,2.0,,10592.0,
344,USC00113320,40.9464,-90.3856,4.0,3.0,10958.0,10958.0,21916.0
345,USC00113335,41.1739,-90.035,4.0,1.0,10958.0,,
346,USC00113384,41.4511,-90.1486,4.0,3.0,10958.0,10593.0,21551.0
347,USC00113413,40.4731,-88.3653,4.0,1.0,9863.0,,
348,USC00113455,40.8822,-91.0233,4.0,3.0,10958.0,10958.0,21916.0
349,USC00113522,37.3789,-88.4894,4.0,1.0,10592.0,,
350,USC00113530,40.1064,-91.0222,4.0,1.0,10593.0,,
351,USC00113572,38.9681,-90.4289,4.0,1.0,10228.0,,
352,USC00113580,37.2036,-89.0422,4.0,,,,
353,USC00113595,37.6592,-89.5103,4.0,1.0,10593.0,,
354,USC00113666,39.3425,-90.2061,4.0,2.0,,9862.0,
355,USC00113683,39.2283,-88.1261,4.0,,,,
356,USC00113693,38.865,-89.4053,4.0,1.0,9862.0,,
357,USC00113717,39.7378,-90.7086,4.0,1.0,9863.0,,
358,USC00113879,37.7408,-88.5244,4.0,1.0,10958.0,,
359,USC00113884,37.75,-88.5333,4.0,1.0,10958.0,,
360,USC00113902,42.4147,-88.6308,4.0,2.0,,10958.0,
361,USC00113930,40.3,-90.05,4.0,,,,
362,USC00113940,40.3031,-90.0647,4.0,3.0,10593.0,9862.0,20455.0
363,USC00114013,41.2647,-89.3381,4.0,,,,
364,USC00114089,38.7606,-89.6561,4.0,2.0,,10593.0,
365,USC00114108,39.1611,-89.4919,4.0,1.0,10958.0,,
366,USC00114198,40.4664,-87.685,4.0,3.0,10958.0,10958.0,21916.0
367,USC00114317,39.1136,-87.6564,4.0,1.0,10593.0,,
368,USC00114355,41.4256,-91.0094,4.0,3.0,10958.0,10958.0,21916.0
369,USC00114442,39.7347,-90.1978,4.0,3.0,10958.0,10958.0,21916.0
370,USC00114489,39.1025,-90.3431,4.0,1.0,10593.0,,
371,USC00114530,41.5033,-88.1033,4.0,3.0,10958.0,10958.0,21916.0
372,USC00114593,41.0833,-87.9167,4.0,,,,
373,USC00114603,41.135,-87.8856,4.0,,,,
374,USC00114629,37.9833,-89.9469,4.0,,,,
375,USC00114655,41.0994,-90.9394,4.0,1.0,10958.0,,
376,USC00114710,41.2428,-89.8997,4.0,2.0,,9862.0,
377,USC00114739,39.5894,-89.4556,4.0,,,,
378,USC00114805,41.0186,-89.4153,4.0,,,,
379,USC00114823,40.5839,-90.9686,4.0,3.0,10958.0,10958.0,21916.0
380,USC00114922,41.3333,-89.1333,4.0,,,,
381,USC00114957,38.7239,-87.7197,4.0,,,,
382,USC00115079,40.1519,-89.3386,4.0,1.0,10227.0,,
383,USC00115110,41.7092,-87.8761,4.0,2.0,,10227.0,
384,USC00115272,40.5242,-89.4208,4.0,,,,
385,USC00115280,40.4786,-90.6697,4.0,3.0,10958.0,10593.0,21551.0
386,USC00115326,42.2636,-88.6078,4.0,1.0,9862.0,,
387,USC00115342,37.7747,-88.8981,4.0,1.0,10958.0,,
388,USC00115372,41.3286,-88.7533,4.0,3.0,10958.0,10593.0,21551.0
389,USC00115380,39.3908,-87.6967,4.0,,,,
390,USC00115405,38.4833,-89.8,4.0,,,,
391,USC00115413,40.1642,-89.6511,4.0,,,,
392,USC00115430,39.4725,-88.3544,4.0,3.0,10958.0,10958.0,21916.0
393,USC00115493,42.3092,-88.2533,4.0,,,,
394,USC00115515,38.0844,-88.5425,4.0,1.0,10958.0,,
395,USC00115539,39.1561,-90.1392,4.0,1.0,10958.0,,
396,USC00115712,40.9125,-89.0339,4.0,2.0,,10958.0,
397,USC00115768,40.9442,-90.6381,4.0,3.0,10958.0,10593.0,21551.0
398,USC00115792,40.0383,-88.5853,4.0,,,,
399,USC00115820,41.3542,-88.4286,4.0,1.0,10592.0,,
400,USC00115825,41.3708,-88.4336,4.0,,,,
401,USC00115833,41.7944,-89.9681,4.0,1.0,10593.0,,
402,USC00115841,39.4158,-89.4614,4.0,,,,
403,USC00115846,39.3833,-89.4,4.0,,,,
404,USC00115888,38.4106,-87.7578,4.0,,,,
405,USC00115893,38.45,-87.7833,4.0,,,,
